Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,91.059998,91.089996,90.510002,90.709999,90.709999,0
2020-12-04,90.709999,90.870003,90.480003,90.699997,90.699997,0
2020-12-06,null,null,null,null,null,null
2020-12-07,90.809998,91.239998,90.620003,90.790001,90.790001,0
2020-12-08,90.900002,91.019997,90.750000,90.970001,90.970001,0
2020-12-09,90.919998,91.199997,90.690002,91.089996,91.089996,0
2020-12-10,91.059998,91.150002,90.669998,90.790001,90.790001,0
2020-12-11,90.739998,91.040001,90.620003,90.980003,90.980003,0
2020-12-13,null,null,null,null,null,null
2020-12-14,90.980003,90.980003,90.419998,90.720001,90.720001,0
2020-12-15,90.690002,90.820000,90.419998,90.470001,90.470001,0
2020-12-16,90.489998,90.699997,90.129997,90.449997,90.449997,0
2020-12-17,90.269997,90.269997,89.730003,89.820000,89.820000,0
2020-12-18,89.830002,90.129997,89.830002,90.019997,90.019997,0
2020-12-20,null,null,null,null,null,null
2020-12-21,89.919998,91.019997,89.919998,90.040001,90.040001,0
2020-12-22,90.089996,90.720001,90.059998,90.650002,90.650002,0
2020-12-23,90.519997,90.669998,90.160004,90.410004,90.410004,0
2020-12-24,null,null,null,null,null,null
2020-12-27,null,null,null,null,null,null
2020-12-28,90.220001,90.379997,89.980003,90.339996,90.339996,0
2020-12-29,90.209999,90.230003,89.849998,90.010002,90.010002,0
2020-12-30,89.980003,89.980003,89.559998,89.629997,89.629997,0
2020-12-31,89.610001,89.980003,89.519997,89.940002,89.940002,0